,Label,Body,flag,tfidfscore,priority
0,ham,Ok lar... Joking wif u oni...,0,2.1823378754762555,medium
1,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,4.1726180260529855,low
2,ham,U dun say so early hor... U c already then say...,0,1.943747522440132,medium
3,ham,"Nah I don't think he goes to usf, he lives around here though",0,2.402295555098006,medium
4,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, �1.50 to rcv",1,3.75761367057443,low
5,ham,Even my brother is not like to speak with me. They treat me like aids patent.,0,2.421482144915676,medium
6,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,3.2475956495529323,high
7,spam,WINNER!! As a valued network customer you have been selected to receivea �900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,3.94312824939096,low
8,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,3.213101687050069,low
9,ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,3.3794605839746854,high
10,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,4.472053422694803,low
11,spam,"URGENT! You have won a 1 week FREE membership in our �100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,4.237707332592026,low
12,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,3.56303681970237,high
13,ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0,1.4130386498923737,medium
14,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,2.958308718471257,low
15,ham,Oh k...i'm watching here:),0,1.4066035077505918,medium
16,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,2.772593775377412,medium
17,ham,Fine if that��s the way u feel. That��s the way its gota b,0,1.9351413624855265,medium
18,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/̼1.20 POBOXox36504W45WQ 16+",1,3.8982194538384194,low
19,ham,Is that seriously how you spell his name?,0,1.4117680743467522,medium
20,ham,I���m going to try for 2 months ha ha only joking,0,2.0490248838157457,medium
21,ham,So �_ pay first lar... Then when is da stock comin...,0,2.2060229029696905,medium
22,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,2.6951883557309824,medium
23,ham,Ffffffffff. Alright no way I can meet up with you sooner?,0,2.1803208258144293,medium
24,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,3.9296725128873167,high
25,ham,Lol your always so convincing.,0,1.377416094843826,medium
26,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,3.5324286393104245,high
27,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,2.556116011237788,medium
28,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,2.7370863783359027,medium
29,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,2.5817373653272506,medium
30,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,3.6453545442397752,high
31,ham,K tell me anything about you.,0,1.0,medium
32,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,2.5527609843708534,medium
33,spam,Thanks for your subscription to Ringtone UK your mobile will be charged �5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,3.093121165023415,low
34,ham,Yup... Ok i go home look at the timings then i msg �_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,3.357455912212268,high
35,ham,"Oops, I'll let you know when my roommate's done",0,2.1564529616356287,medium
36,ham,I see the letter B on my car,0,1.397928617350774,medium
37,ham,Anything lor... U decide...,0,1.3799853920956866,medium
38,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,2.936751880005774,medium
39,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,2.914453057606054,medium
40,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,3.3396465095630496,high
41,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,3.647798631542079,low
42,ham,WHO ARE YOU SEEING?,0,1.0,medium
43,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,2.70260004144026,medium
44,ham,No calls..messages..missed calls,0,1.6392970855423246,medium
45,ham,Didn't you get hep b immunisation in nigeria.,0,1.9720357286751096,medium
46,ham,"Fair enough, anything going on?",0,1.3570124137207524,medium
47,ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,2.414345792321686,medium
48,ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,3.365954615257746,high
49,ham,What you thinked about me. First time you saw me in class.,0,1.9345153405859696,medium
50,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,3.1091836726494284,high
