Label,Body,flag,tfidfscore
ham,Ok lar... Joking wif u oni...,0,2.1823378754762555
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,4.1726180260529855
ham,U dun say so early hor... U c already then say...,0,1.943747522440132
ham,"Nah I don't think he goes to usf, he lives around here though",0,2.402295555098006
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, �1.50 to rcv",1,3.75761367057443
ham,Even my brother is not like to speak with me. They treat me like aids patent.,0,2.421482144915676
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,3.2475956495529323
spam,WINNER!! As a valued network customer you have been selected to receivea �900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,3.94312824939096
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,3.213101687050069
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,3.3794605839746854
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,4.472053422694803
spam,"URGENT! You have won a 1 week FREE membership in our �100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,4.237707332592026
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,3.56303681970237
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0,1.4130386498923735
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,2.958308718471257
ham,Oh k...i'm watching here:),0,1.4066035077505918
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,2.772593775377412
ham,Fine if that��s the way u feel. That��s the way its gota b,0,1.9351413624855263
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/̼1.20 POBOXox36504W45WQ 16+",1,3.8982194538384194
ham,Is that seriously how you spell his name?,0,1.4117680743467522
ham,I���m going to try for 2 months ha ha only joking,0,2.0490248838157457
ham,So �_ pay first lar... Then when is da stock comin...,0,2.2060229029696905
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,2.6951883557309824
